,Drama,Comedy,Action,Crime,Adventure,Fantasy,Horror,Thriller,Romance,Western,Documentary,Science Fiction,TV Movie,Animation,Music,Foreign,War,Mystery,Family,History
133921,3.838709677419355,3.75,3.8846153846153846,2.9,3.7,3.875,3.6,3.5,5.0,5.0,4.5,4.75,0.0,4.75,3.75,0.0,5.0,3.0,0.0,0.0
207673,4.1875,3.5,1.75,4.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115038,4.428571428571429,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89633,2.75,4.0,3.4,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92202,4.0,5.0,4.5,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229939,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144250,4.230769230769232,4.333333333333333,3.2,4.4,5.0,3.0,4.5,5.0,5.0,0.0,0.0,4.333333333333333,0.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0
262513,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164125,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193075,3.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91289,3.7916666666666665,3.8260869565217392,3.9166666666666665,4.5,3.75,4.25,3.0,3.75,3.0,4.0,5.0,3.5,0.0,3.5,3.6666666666666665,0.0,0.0,3.333333333333333,0.0,0.0
98120,4.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151264,3.1944444444444446,3.0416666666666665,3.2857142857142856,2.9,2.636363636363636,3.333333333333333,3.4,2.7142857142857144,3.0,3.0,2.6666666666666665,3.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,3.0,0.0
144720,3.7142857142857135,3.333333333333333,4.2,3.5,3.6666666666666665,3.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41614,3.1428571428571432,3.25,3.0,3.0,3.0,0.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141459,3.4,3.25,4.5,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127026,3.125,5.0,3.1666666666666665,5.0,2.75,3.5,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215313,4.214285714285714,3.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229058,4.5,5.0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206256,4.0,3.25,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
35424,3.230337078651685,3.15625,3.2258064516129035,3.0454545454545454,3.0,3.5,3.0384615384615383,3.1,3.125,4.5,2.9375,2.5,0.0,2.833333333333333,3.875,0.0,3.75,3.5,4.0,0.0
25994,3.333333333333333,3.333333333333333,4.5,1.5,2.5,3.0,2.5,3.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53621,4.3,3.75,4.5,4.0,3.333333333333333,0.0,4.0,4.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190588,3.0,1.5,3.5,3.5,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24524,4.142857142857143,4.2,3.0,4.0,3.5,0.0,3.5,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216220,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239047,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184868,5.0,5.0,4.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80451,4.5,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6936,3.53125,3.333333333333333,3.3,3.5,3.583333333333333,3.25,4.0,3.6,4.0,5.0,3.5,2.6,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0
83310,2.833333333333333,4.0,3.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240596,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259804,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261861,5.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217585,3.5,4.75,4.0,0.0,4.5,0.0,0.0,3.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239342,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141906,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265275,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64271,4.25,4.142857142857143,5.0,4.0,4.666666666666667,0.0,4.5,4.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235461,3.0,3.25,3.0,3.6666666666666665,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130216,3.333333333333333,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141283,3.7142857142857135,2.5,1.0,3.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50023,3.8571428571428568,3.5,4.833333333333333,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183759,4.0,4.25,0.0,4.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44384,3.5,3.875,4.4,3.5,3.333333333333333,3.0,3.6666666666666665,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61563,3.8181818181818175,3.789473684210527,3.9230769230769234,3.7,4.157894736842104,4.5,3.333333333333333,4.285714285714286,3.6666666666666665,4.0,3.8,3.375,0.0,3.0,0.0,0.0,3.5,2.8,3.5,0.0
68349,3.6666666666666665,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111374,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169475,3.75,2.833333333333333,4.0,3.0,3.5,0.0,4.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156101,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260912,4.0,0.0,5.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59653,4.0,3.7857142857142856,4.2,3.8333333333333335,4.25,4.5,3.75,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214165,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209898,3.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182732,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147920,3.888888888888889,3.571428571428572,3.8,3.75,3.5,3.0,3.333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184318,3.0,3.6666666666666665,4.0,3.5,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248676,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51967,3.2643678160919536,3.383928571428572,3.466666666666667,3.4166666666666665,3.3666666666666667,3.1666666666666665,3.2777777777777777,3.3,3.6666666666666665,4.0,3.125,3.6428571428571432,0.0,3.5,3.0,0.0,0.0,2.75,3.5,0.0
66796,2.5,2.5,0.0,2.5,0.0,0.0,2.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188293,4.5,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144390,3.8333333333333335,0.0,3.6,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29712,3.6666666666666665,3.9,3.5,3.0,3.6666666666666665,4.0,4.0,3.5,3.5,1.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
24592,3.375,3.4285714285714284,3.0,3.333333333333333,3.7142857142857135,3.5,3.0,3.0,3.0,0.0,3.5,3.5,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
3575,2.6666666666666665,3.0,4.0,3.0,3.333333333333333,3.25,4.0,3.5,0.0,0.0,2.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
174980,3.8333333333333335,3.333333333333333,4.0,3.6666666666666665,4.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240984,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125161,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31054,5.0,3.5,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34220,3.4736842105263164,3.6428571428571432,3.5,3.6666666666666665,3.0,4.0,3.5,3.333333333333333,3.0,4.0,3.5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
58070,3.5454545454545454,3.8181818181818175,4.571428571428571,4.0,3.8333333333333335,3.0,4.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
150234,3.6666666666666665,4.0,5.0,3.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70354,3.5277777777777777,3.6,3.3529411764705883,3.75,3.1,5.0,3.625,3.875,3.625,0.0,3.0,3.25,0.0,3.75,0.0,0.0,3.0,3.0,4.0,0.0
239323,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148884,3.0,4.0,4.5,0.0,5.0,3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46023,3.303030303030303,3.6071428571428568,3.65,3.7692307692307687,3.210526315789473,3.7142857142857135,3.4444444444444446,3.333333333333333,4.0,1.0,2.8571428571428568,2.75,0.0,3.5,2.5,0.0,4.0,4.5,3.25,0.0
49241,4.0,3.6666666666666665,3.6666666666666665,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234102,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130855,4.5,4.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240995,4.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131403,3.5,3.6,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176081,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5668,4.1125,4.052631578947368,4.454545454545454,3.7,3.75,4.3,4.5,3.928571428571429,4.25,0.0,4.3,4.333333333333333,0.0,4.0,3.75,0.0,4.0,5.0,3.5,0.0
207463,4.0,1.75,4.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124119,3.25,3.125,4.5,1.0,3.0,1.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52317,3.407185628742514,3.423809523809524,3.466666666666667,3.363636363636364,3.1875,3.09375,3.3541666666666665,3.55,3.3076923076923075,3.3,3.4117647058823533,3.3125,3.25,3.5,3.6,4.0,3.6666666666666665,3.2857142857142856,3.75,4.5
92483,3.4081632653061225,3.396551724137931,3.7,3.25,3.2857142857142856,3.375,3.4166666666666665,2.9,3.8333333333333335,3.5,3.6666666666666665,2.5,2.5,3.5,3.0,4.0,3.0,3.6666666666666665,4.0,0.0
218309,4.5,4.0,0.0,3.5,3.5,0.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214233,4.333333333333333,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216441,3.7142857142857135,4.0,0.0,3.0,4.0,0.0,3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24654,3.852112676056338,3.8372093023255816,3.828358208955224,3.85,3.7777777777777777,4.0,3.814814814814815,3.5,3.583333333333333,4.375,3.8157894736842106,3.8333333333333335,4.0,3.7857142857142856,3.6428571428571432,4.5,3.5,3.6428571428571432,3.75,3.333333333333333
71704,4.0,4.25,4.0,4.0,2.0,0.0,0.0,4.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93105,4.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52278,4.26984126984127,4.291666666666667,4.403225806451613,4.545454545454546,4.166666666666667,4.1,4.2,4.181818181818182,3.928571428571429,3.6666666666666665,3.875,4.1,0.0,4.5,3.875,0.0,5.0,5.0,0.0,0.0
25485,4.666666666666667,4.5,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259733,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253441,3.75,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84535,3.571428571428572,4.166666666666667,3.2,4.4,3.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70174,3.6428571428571432,4.166666666666667,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41326,4.166666666666667,4.071428571428571,4.083333333333333,3.625,3.75,0.0,3.5,4.0,0.0,4.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161316,3.125,3.5,4.0,2.75,0.0,0.0,1.5,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76328,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219874,2.9,0.0,4.5,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230490,4.5,4.0,4.0,4.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204920,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160986,4.166666666666667,3.5,4.666666666666667,4.0,5.0,4.5,4.5,5.0,2.0,0.0,4.5,4.5,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
258783,4.0,0.0,1.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196677,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100603,4.2,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260041,3.0,0.0,3.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265809,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127642,4.25,3.1666666666666665,4.5,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
74698,4.172131147540983,4.314285714285714,4.282608695652174,4.45,4.6,4.75,4.2,3.75,4.666666666666667,3.0,4.583333333333333,4.25,4.5,5.0,5.0,0.0,4.5,5.0,5.0,3.0
233002,3.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226628,4.25,4.0,0.0,4.0,3.5,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73929,4.4,5.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210954,3.928571428571429,0.0,4.5,0.0,0.0,2.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208617,3.333333333333333,4.666666666666667,3.0,3.0,4.5,0.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52553,3.8333333333333335,4.375,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33885,3.875,4.166666666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138127,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59500,3.6031746031746033,3.525641025641025,3.739130434782609,4.0,4.25,4.666666666666667,3.2647058823529416,3.25,4.166666666666667,4.75,4.166666666666667,4.5,4.75,3.6666666666666665,3.25,4.5,3.5,5.0,0.0,0.0
162387,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214369,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48467,3.652173913043478,3.6,3.6,3.8333333333333335,3.25,4.0,4.333333333333333,4.5,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156478,3.333333333333333,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24092,3.5338983050847457,3.8285714285714287,3.647058823529412,3.75,3.083333333333333,3.8,3.727272727272727,3.875,3.0,3.333333333333333,4.166666666666667,4.75,0.0,3.5,4.0,0.0,5.0,3.8,3.0,0.0
43638,4.222222222222221,5.0,4.75,4.5,3.75,0.0,0.0,4.0,0.0,0.0,0.0,4.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
133556,4.0,4.0,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95125,2.7355371900826446,2.646551724137931,2.6333333333333333,3.0,2.94,3.75,2.5588235294117645,2.6,2.8,3.0,3.2222222222222223,3.1666666666666665,3.8333333333333335,3.083333333333333,3.6666666666666665,0.0,2.25,2.625,0.0,0.75
171846,3.6,3.5,3.5,3.0,3.5,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187169,4.75,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127276,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24781,3.2327586206896552,3.1633663366336635,3.3666666666666667,3.2058823529411766,3.303030303030303,3.2666666666666666,3.238095238095238,3.25,3.333333333333333,2.6,3.458333333333333,3.8333333333333335,3.5,3.6,3.5,0.0,2.833333333333333,3.125,3.25,3.25
48142,4.473684210526316,4.166666666666667,4.0,4.333333333333333,4.0,5.0,4.0,5.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
53234,3.469135802469136,3.5340909090909087,3.581081081081081,3.5,3.388888888888889,3.2857142857142856,3.5588235294117645,3.55,3.1,3.5,3.4285714285714284,3.6666666666666665,4.0,3.625,3.5,0.0,3.0,4.0,0.0,3.0
119026,3.8333333333333335,4.0,3.0,2.5,2.5,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81939,3.78125,3.76,3.727272727272727,3.75,3.4285714285714284,4.0,4.0,4.0,3.6666666666666665,3.0,3.0,3.0,0.0,5.0,3.5,0.0,0.0,2.0,3.333333333333333,0.0
77319,3.2,4.25,4.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
